organism,regional_centre,antibiotic,year,susceptible_n,tested_n,susceptible_pct,source_report_year,source_table,source_url,extracted_date,reported_pct,computed_pct,flags
Escherichia coli,RC1,amikacin,2023,249,391,63.7,2023,Table 3.10,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,63.7,63.68,
Escherichia coli,RC1,amikacin,2024,5,11,,2024,Table 2.10,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,,45.45,"pct_suppressed_in_source,rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Escherichia coli,RC1,cefotaxime,2023,42,391,10.7,2023,Table 3.10,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,10.7,10.74,
Escherichia coli,RC1,cefotaxime,2024,2,11,,2024,Table 2.10,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,,18.18,"pct_suppressed_in_source,rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Escherichia coli,RC1,ceftazidime,2023,69,391,17.6,2023,Table 3.10,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,17.6,17.65,
Escherichia coli,RC1,ceftazidime,2024,4,11,,2024,Table 2.10,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,,36.36,"pct_suppressed_in_source,rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Escherichia coli,RC1,ciprofloxacin,2023,25,391,6.4,2023,Table 3.10,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,6.4,6.39,
Escherichia coli,RC1,ciprofloxacin,2024,1,11,,2024,Table 2.10,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,,9.09,"pct_suppressed_in_source,rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Escherichia coli,RC1,ertapenem,2023,163,391,41.7,2023,Table 3.10,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,41.7,41.69,
Escherichia coli,RC1,ertapenem,2024,6,11,,2024,Table 2.10,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,,54.55,"pct_suppressed_in_source,rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Escherichia coli,RC1,imipenem,2023,190,391,48.6,2023,Table 3.10,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,48.6,48.59,
Escherichia coli,RC1,imipenem,2024,5,11,,2024,Table 2.10,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,,45.45,"pct_suppressed_in_source,rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Escherichia coli,RC1,levofloxacin,2023,88,391,22.5,2023,Table 3.10,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,22.5,22.51,
Escherichia coli,RC1,levofloxacin,2024,4,11,,2024,Table 2.10,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,,36.36,"pct_suppressed_in_source,rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Escherichia coli,RC1,meropenem,2023,201,391,51.4,2023,Table 3.10,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,51.4,51.41,
Escherichia coli,RC1,meropenem,2024,6,11,,2024,Table 2.10,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,,54.55,"pct_suppressed_in_source,rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Escherichia coli,RC1,piperacillin-tazobactam,2023,136,391,34.8,2023,Table 3.10,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,34.8,34.78,
Escherichia coli,RC1,piperacillin-tazobactam,2024,0,11,,2024,Table 2.10,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,,0.0,"pct_suppressed_in_source,rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Escherichia coli,RC2,amikacin,2023,1163,1578,73.7,2023,Table 3.10,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,73.7,73.7,
Escherichia coli,RC2,amikacin,2024,2763,4041,68.4,2024,Table 2.10,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,68.4,68.37,"rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Escherichia coli,RC2,cefotaxime,2023,65,1222,5.3,2023,Table 3.10,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,5.3,5.32,
