organism,antibiotic,year,susceptible_n,tested_n,susceptible_pct,source_report_year,source_table,source_url,extracted_date,reported_pct,computed_pct,flags
Acinetobacter baumannii,amikacin,2017,638,3312,19.3,2022,Table 5.6,https://www.icmr.gov.in/icmrobject/custom_data/pdf/resource-guidelines/AMRSN_Annual_Report_2022.pdf,2026-08-26,19.3,19.26,
Acinetobacter baumannii,amikacin,2017,638,3312,19.3,2023,Table 4.3,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-26,19.3,19.26,
Acinetobacter baumannii,amikacin,2017,638,3312,19.3,2024,Table 3.6,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-26,19.3,19.26,
Acinetobacter baumannii,amikacin,2018,877,3795,23.1,2022,Table 5.6,https://www.icmr.gov.in/icmrobject/custom_data/pdf/resource-guidelines/AMRSN_Annual_Report_2022.pdf,2026-08-26,23.1,23.11,
Acinetobacter baumannii,amikacin,2018,877,3795,23.1,2023,Table 4.3,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-26,23.1,23.11,
Acinetobacter baumannii,amikacin,2018,877,3795,23.1,2024,Table 3.6,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-26,23.1,23.11,
Acinetobacter baumannii,amikacin,2019,1429,7016,20.4,2022,Table 5.6,https://www.icmr.gov.in/icmrobject/custom_data/pdf/resource-guidelines/AMRSN_Annual_Report_2022.pdf,2026-08-26,20.4,20.37,
Acinetobacter baumannii,amikacin,2019,1429,7016,20.4,2023,Table 4.3,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-26,20.4,20.37,
Acinetobacter baumannii,amikacin,2019,1429,7016,20.4,2024,Table 3.6,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-26,20.4,20.37,
Acinetobacter baumannii,amikacin,2020,1014,5863,17.3,2022,Table 5.6,https://www.icmr.gov.in/icmrobject/custom_data/pdf/resource-guidelines/AMRSN_Annual_Report_2022.pdf,2026-08-26,17.3,17.29,
Acinetobacter baumannii,amikacin,2020,1014,5863,17.3,2023,Table 4.3,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-26,17.3,17.29,
Acinetobacter baumannii,amikacin,2020,1014,5863,17.3,2024,Table 3.6,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-26,17.3,17.29,
Acinetobacter baumannii,amikacin,2021,1925,10734,17.9,2022,Table 5.6,https://www.icmr.gov.in/icmrobject/custom_data/pdf/resource-guidelines/AMRSN_Annual_Report_2022.pdf,2026-08-26,17.9,17.93,
Acinetobacter baumannii,amikacin,2021,1925,10734,17.9,2023,Table 4.3,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-26,17.9,17.93,
Acinetobacter baumannii,amikacin,2021,1925,10734,17.9,2024,Table 3.6,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-26,17.9,17.93,
